global_subject_id,batches,original_ids,is_cross_session,first_appearance_batch,n_sessions,activities,notes
S035,4,S45,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing|walking,
S036,4,S46,False,4,1,badminton|running|sitting|stairs_down|stairs_up|walking,
S037,4,S47,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|walking,
S038,4,S48,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S039,4,S49,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S040,4,S50,False,4,1,badminton|running|sitting|standing|walking,
S041,4,S51,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S042,4,S52,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S043,4,S53,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S044,4,S54,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S045,5,chyntia,False,5,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S046,5,henri,False,5,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S047,5,igor,False,5,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
